exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp36-time-exit-30	val	1.12	1.12	8.6	5.5902	2707	57.1	1.18	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time-based exit 36->30 bars for low-vol breakouts
exp37-time-exit-42	val	1.73	1.73	16.3	4.7309	2344	57.9	1.26	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time-based exit 36->42 bars for low-vol breakouts
exp38-time-exit-mr-12	val	4.08	4.08	55.4	4.1091	2563	58.2	1.59	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time exit for high-vol MR too: 12 bars max hold
exp39-time-exit-mr-8	val	2.73	2.73	32.1	4.1600	2705	55.4	1.39	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time exit for high-vol MR: 12->8 bars
exp40-time-exit-mr-16	val	3.61	3.61	46.2	4.1350	2483	58.8	1.52	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time exit for high-vol MR: 12->16 bars
exp41-size-0.08	val	3.53	3.53	58.1	4.5135	2563	58.2	1.52	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Position size 0.06->0.08 with all risk controls active
exp42-6pos	val	3.80	3.80	54.4	4.9142	2938	57.5	1.53	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Max positions 5->6 with time exits and risk controls
exp43-regime-sizing	val	4.51	4.51	65.1	4.0367	2563	58.2	1.70	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Regime sizing: high-vol 0.04 (counter-trend), low-vol 0.07 (trend)
exp44-extreme-sizing	val	4.43	4.43	69.5	4.2070	2563	58.2	1.74	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	More extreme regime sizing: HV 0.03, LV 0.08
exp45-atr-stop-3.5	val	4.53	4.53	64.4	3.9091	2541	58.5	1.69	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	ATR stop mult 3.0->3.5 for high-vol (slightly wider)
exp46-atr-stop-4.0	val	4.40	4.40	61.6	3.9091	2529	58.4	1.67	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	ATR stop mult 3.5->4.0 for high-vol
exp47-lowvol-stop-4.0	val	3.68	3.68	46.5	4.5759	2672	57.3	1.53	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Low-vol ATR stop 5.0->4.0 (time exit covers the rest)
exp48-graduated-brake	val	4.73	4.73	70.8	4.6327	2541	58.5	1.73	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Graduated DD brake: linear reduction instead of step function
exp49-no-sma-confirm	val	4.40	4.40	64.3	4.8982	2571	58.3	1.64	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Remove SMA confirmation for MR entries (time exit handles risk)
exp50-cooldown-3	val	4.58	4.58	69.8	4.7950	2510	58.2	1.73	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Cooldown 2->3 bars
exp51-vol-term-struct	val	4.61	4.61	70.7	4.7668	2291	58.1	1.76	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Vol term structure filter for MR: only enter when short vol > long vol
exp52-trade-loss-1pct	val	4.73	4.73	70.8	4.6327	2541	58.5	1.73	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Max trade loss 1.5%->1.0% for tighter per-trade risk
exp53-long-only-mr	val	4.62	4.62	68.8	4.5526	1826	57.5	1.83	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	High-vol MR: long-only (correlated selloffs = buy opportunity)
exp54-ema-5-20	val	3.53	3.53	44.6	5.3602	2583	58.1	1.52	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA pair 7/26->5/20 for low-vol breakouts
exp55-momentum-breakout	val	1.57	1.57	15.3	6.5124	2584	55.7	1.23	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Low-vol breakout + momentum confirmation (6-bar returns)
exp56-lowvol-size-0.08	val	4.75	4.75	81.6	4.9750	2541	58.5	1.75	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Low-vol size 0.07->0.08
exp57-lowvol-size-0.09	val	4.72	4.72	91.8	5.2702	2541	58.5	1.76	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Low-vol size 0.08->0.09
exp58-ema-separation	val	4.47	4.47	73.6	4.9750	2550	59.2	1.70	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA separation threshold 0.2% for low-vol breakout direction
exp59-profit-lock	val	3.55	3.55	50.5	4.8670	2698	59.4	1.48	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Profit lock: tighten trailing stop to 2x ATR after 1% profit
exp60-mr-exit-55-45	val	4.48	4.48	77.0	4.9812	2579	58.4	1.72	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	MR exit RSI thresholds 60/40->55/45 (quicker exits)
exp61-mr-exit-65-35	val	4.38	4.38	74.5	4.9659	2497	56.7	1.69	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	MR exit RSI thresholds 60/40->65/35 (let profits run)
exp62-highvol-size-0.05	val	4.66	4.66	82.7	5.1503	2541	58.5	1.70	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	High-vol size 0.04->0.05 (time exits protect)
exp63-vol-lookback-120	val	4.75	4.75	81.6	4.9750	2541	58.5	1.75	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Vol long lookback 168->120 (5 days instead of 7)
exp64-min-history-250	val	4.68	4.68	79.9	4.9750	2511	58.1	1.74	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	MIN_HISTORY 180->250 for more stable initial signals
exp65-tp-3pct-mr	val	4.59	4.59	77.3	5.0207	2579	58.9	1.71	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Take profit at 3% for high-vol MR trades
exp66-full-stop-5pct	val	4.75	4.75	81.6	4.9750	2541	58.5	1.75	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Full entry stop when DD > 5% (2x DD_BRAKE_PCT)
exp67-btc-confirm-regime	val	3.68	3.68	58.0	4.7002	2512	58.1	1.55	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	BTC regime only applies to coins with bb_pctile > 60 or < 40
exp68-conviction-sizing	val	3.37	3.37	58.9	5.6683	2631	55.8	1.49	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	BB percentile-based conviction sizing: more extreme regime = larger size
exp69-lowvol-stop-5.5	val	4.72	4.72	80.2	5.2681	2511	58.9	1.72	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Low-vol ATR stop 5.0->5.5 (wider for breakout run)
exp70-mr-time-10	val	4.05	4.05	64.1	4.9884	2615	55.7	1.60	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	MR time exit 12->10 bars
exp71-final-verify	val	4.75	4.75	81.6	4.9750	2541	58.5	1.75	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Final verification of best strategy
split-test	val	2.66	2.66	18.1	3.4998	1237	56.8	1.54	BTC/ETH/SOL	2026-03-27	OOS validation
split-test	test	-2.10	-2.10	-7.5	8.5752	1287	51.1	0.83	BTC/ETH/SOL	2026-03-27	OOS validation
split-test-8coin	val	4.75	4.75	81.6	4.9750	2541	58.5	1.75	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-27	OOS validation, all 8 coins
split-test-8coin	test	-0.91	-0.91	-6.1	10.2287	2551	53.3	0.97	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-27	OOS validation, all 8 coins
