exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp87	val	4.23	4.23	16.2	0.9575	76	71.1	9.04	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	cooldown 6->8 with alts only
exp88	val	3.86	3.86	14.0	1.1630	70	71.4	10.11	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	6 alts (add XRP) + entry 3.0->3.2 (higher threshold to compensate)
exp89	val	3.80	3.80	14.8	1.8579	76	71.1	8.43	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	TP 7%->8% with alts only
exp90	val	4.10	4.10	15.6	0.9575	76	71.1	8.78	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	TP 7%->6% with alts only
exp91	val	4.23	4.23	16.2	0.9575	76	71.1	9.04	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	add max hold 72 bars (3 days)
exp92	val	4.05	4.05	14.5	1.1405	66	72.7	7.27	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	lookback 96->84 (3.5 days)
final-check	val	4.23	4.23	16.2	0.9575	76	71.1	9.04	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	verify best config: alts only, decel filter, momentum 0.012, entry 3.0, exit 0.3, TP 7%
split-test	val	0.53	1.08	1.0	1.0406	12	66.7	2.62	BTC/ETH/SOL	2026-03-27	OOS validation
split-test	test	0.82	1.67	1.7	0.5804	12	83.3	32.15	BTC/ETH/SOL	2026-03-27	OOS validation
split-test-8coin	val	4.23	4.23	16.2	0.9575	76	71.1	9.04	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-27	OOS validation, all 8 coins
split-test-8coin	test	0.29	0.29	0.8	2.4961	66	60.6	1.32	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-27	OOS validation, all 8 coins
